province,district_clean,sector,district_sector,disease,casetype,age_category_new,gender,periodname,year,month,Total
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2024,2024,January,254.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2025,2025,January,802.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2020,2020,July,60.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2021,2021,July,578.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2022,2022,July,473.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2023,2023,July,290.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2024,2024,July,244.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,June 2020,2020,June,86.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,June 2021,2021,June,559.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,June 2022,2022,June,668.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,June 2023,2023,June,273.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,June 2024,2024,June,335.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,June 2025,2025,June,966.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,March 2020,2020,March,121.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,March 2021,2021,March,952.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,March 2022,2022,March,379.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,March 2023,2023,March,68.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,March 2024,2024,March,260.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,March 2025,2025,March,921.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,May 2020,2020,May,193.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,May 2021,2021,May,867.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,May 2022,2022,May,350.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,May 2023,2023,May,167.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,May 2024,2024,May,188.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,May 2025,2025,May,1081.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,November 2020,2020,November,2449.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,November 2021,2021,November,705.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,November 2022,2022,November,250.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,November 2023,2023,November,892.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,November 2024,2024,November,783.0
